;NR;ES;RM;T;OPEX;CAPEX;BA;WF
1.1.1;0,25;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.1.2;0,01;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.1.3;0,0;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.2.1;0,02;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.2.2;0,0;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.2.3;0,0;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.3.1;0,05;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.4.1;0,05;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.5.1;0,03;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.6.1;0,01;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.7.1;0,0;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.7.2;0,0;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.8.1;0,02;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.9.1;0,03;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.10.1;0,03;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.10.2;0,02;0,08;0,12;0,1;0,26;0,06;0,17;0,33
1.11.1;0,0;0,0;0,06;0,25;0,12;0,01;0,0;0,2
1.11.2;0,02;0,08;0,12;0,1;0,26;0,06;0,17;0,33
2.1.1;0,0;0,0;0,06;0,01;0,02;0,0;0,0;0,08
2.1.2;0,0;0,0;0,04;0,01;0,04;0,01;0,0;0,21
2.2.1;0,0;0,0;0,06;0,01;0,02;0,0;0,0;0,08
2.2.2;0,0;0,0;0,04;0,01;0,04;0,01;0,0;0,21
3.1.1;0,0;0,09;0,24;0,01;0,09;0,03;0,0;0,11
3.2.1;0,0;0,09;0,2;0,0;0,09;0,02;0,0;0,09
4.1.1;0,0;0,0;0,08;0,03;0,04;0,0;0,0;0,05
5.1.1;0,0;0,0;0,13;0,03;0,04;0,01;0,0;0,21
6.1.1;0,0;0,08;0,06;0,04;0,16;0,07;0,0;0,07
7.1.1;0,0;0,0;0,14;0,02;0,31;0,15;0,0;0,04
7.1.2;0,0;0,0;0,14;0,02;0,31;0,15;0,0;0,04
7.1.3;0,0;0,0;0,14;0,02;0,31;0,15;0,0;0,04
7.2.1;0,05;0,0;0,09;0,05;0,24;0,14;0,0;0,11
8.1.1;0,0;0,0;0,04;0,03;0,07;0,01;0,0;0,18
8.1.2;0,0;0,0;0,0;0,02;0,16;0,1;0,0;0,13
9.1.1;0,0;0,0;0,0;0,0;0,33;0,33;0,0;0,0
10.1.1;0,0;0,15;0,25;0,25;0,0;0,09;0,0;0,07
10.1.2;0,0;0,25;0,09;0,18;0,14;0,06;0,0;0,1
11.1.1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12.1.1;0,0;0,0;0,0;0,0;0,3;0,01;0,0;0,0
